transaction_id,sku,warehouse_id,transaction_type,quantity_change,timestamp
TXN0000056,ITM00158,WH003,OUTBOUND,-149,2025-09-14T00:00:00
TXN0000057,PRO00005,WH003,ADJUSTMENT,79,2023-10-07T00:00:00
TXN0000058,SKU00088,WH001,INBOUND,152,2023-06-30T00:00:00
TXN0000059,PRO00053,WH002,TRANSFER,19,2024-04-24T00:00:00
TXN0000060,PROD00167,WH005,ADJUSTMENT,147,2025-08-27T00:00:00
TXN0000061,ITM00034,WH005,OUTBOUND,-106,2024-08-04T00:00:00
TXN0000062,SKU00186,WH001,INBOUND,64,2023-01-17T00:00:00
TXN0000063,PRO00053,WH005,RETURN,147,2025-08-14T00:00:00
TXN0000064,PROD00199,WH001,ADJUSTMENT,8,2024-06-20T00:00:00
TXN0000065,PRO00013,WH005,OUTBOUND,-24,2024-01-25T00:00:00
TXN0000066,PRO00032,WH002,ADJUSTMENT,27,2025-09-27T00:00:00
TXN0000067,PRO00042,WH002,TRANSFER,36,2024-12-04T00:00:00
TXN0000068,PRO00150,WH002,OUTBOUND,-97,2023-02-04T00:00:00
TXN0000069,PROD00049,WH002,RETURN,194,2025-01-12T00:00:00
TXN0000070,ITM00134,WH004,ADJUSTMENT,147,2024-07-07T00:00:00
TXN0000071,PRO00010,WH005, ADJUSTMENT ,66,2024-01-31T00:00:00
TXN0000072,PROD00125,WH003,TRANSFER,160,2024-01-20T00:00:00
TXN0000073,PROD00178,WH001,INBOUND,168,2025-06-08T00:00:00
TXN0000074,PROD00185,WH003,,151,2023-09-24T00:00:00
TXN0000075,PROD00168,WH001,ADJUSTMENT,131,2025-08-19T00:00:00
TXN0000076,SKU00088,WH001,ADJUSTMENT,143,2023-02-17T00:00:00
TXN0000077,PROD00121,WH005,ADJUSTMENT,39,2025-03-01T00:00:00
TXN0000078,SKU00124,WH004,ADJUSTMENT,188,2023-03-28T00:00:00
TXN0000079,SKU00190,WH003,OUTBOUND,-193,
TXN0000080,PROD00199,WH003,ADJUSTMENT,8,2025-01-28T00:00:00
TXN0000081,PROD00117,WH002,,60,2024-07-19T00:00:00
TXN0000082,SKU00186,WH004,ADJUSTMENT,76,2023-01-07T00:00:00
TXN0000083,PRO00052,WH003,ADJUSTMENT,55,2023-02-11T00:00:00
TXN0000084,PRO00014,WH004,ADJUSTMENT,102,2023-05-18T00:00:00
TXN0000085,PROD00125,WH001,OUTBOUND,-108,2024-01-06T00:00:00
TXN0000086,PROD00049,WH004,,126,2023-11-27T00:00:00
TXN0000087,ITM00134,WH005,INBOUND,59,2024-12-27T00:00:00
TXN0000088,PROD00051,WH004,,164,2023-10-22T00:00:00
TXN0000089,PROD00108,WH001,TRANSFER,169,2025-08-14T00:00:00
TXN0000090,PROD00174,WH002,TRANSFER,110,2024-12-31T00:00:00
TXN0000091,ITM00114,WH005,RETURN ,21,2025-09-10T00:00:00
TXN0000092,PROD00048,WH001,TRANSFER,151,2023-07-14T00:00:00
TXN0000093,SKU00122,WH004,TRANSFER,192,2024-04-25T00:00:00
TXN0000094,PROD00182,WH005,INBOUND,8,2023-03-10T00:00:00
TXN0000095,ITM00065,WH001,TRANSFER,72,2023-12-05T00:00:00
TXN0000096,SKU00089,WH001,RETURN,166,2023-04-10T00:00:00
TXN0000097,ITM00189,WH003,INBOUND,133,2023-11-22T00:00:00
TXN0000098,SKU00041,WH005,TRANSFER,32,2024-02-01T00:00:00
TXN0000099,PRO00019,WH004,TRANSFER,38,2025-02-17T00:00:00
TXN0000100,SKU00181,WH005,ADJUSTMENT,34,2023-07-21T00:00:00
TXN0000101,SKU00057,WH004,RETURN,107,2025-01-05T00:00:00
TXN0000102,SKU00154,WH005,INBOUND,91,2023-12-02T00:00:00
TXN0000103,SKU00082,WH002,OUTBOUND,-164,2025-08-12T00:00:00
TXN0000104,SKU00194,WH005,RETURN,1,2024-09-08T00:00:00
TXN0000105,PRO00180,WH001,ADJUSTMENT,148,2025-01-05T00:00:00
TXN0000106,PRO00151,WH001,OUTBOUND,-200,2023-02-04T00:00:00
TXN0000107,SKU00020,WH001,OUTBOUND,-169,2023-11-21T00:00:00
TXN0000108,ITM00099,WH005,OUTBOUND,-51,2025-03-08T00:00:00
TXN0000109,SKU00067,WH004,OUTBOUND,-95,2023-10-02T00:00:00
TXN0000110,PROD00056,WH005, ADJUSTMENT ,164,2025-06-03T00:00:00
TXN0000111,SKU00031,WH001,RETURN,122,2023-11-10T00:00:00
TXN0000112,SKU00088,WH005,TRANSFER,175,2025-05-03T00:00:00
TXN0000113,ITM00166,WH002,,77,2024-11-24T00:00:00
TXN0000114,PRO00151,WH002,ADJUSTMENT,191,2024-02-27T00:00:00
TXN0000115,ITM00135,WH004,TRANSFER,81,2024-03-28T00:00:00
TXN0000116,PRO00028,WH003,RETURN,126,2025-07-30T00:00:00
TXN0000117,PRO00013,WH004,INBOUND,107,2024-06-10T00:00:00
TXN0000118,PRO00146,WH005,TRANSFER,147,2024-09-04T00:00:00
TXN0000119,ITM00011,WH003,OUTBOUND ,-90,2023-06-23T00:00:00
TXN0000120,SKU00069,WH002,TRANSFER,150,2025-05-08T00:00:00
TXN0000121,ITM00127,WH001,INBOUND,24,2023-02-22T00:00:00
TXN0000122,PRO00019,WH004,INBOUND,176,2024-04-23T00:00:00
TXN0000123,SKU00035,WH002,INBOUND,83,2023-03-13T00:00:00
TXN0000124,SKU00035,WH002,TRANSFER,84,2023-01-16T00:00:00
TXN0000125,ITM00176,WH001,ADJUSTMENT,45,2023-08-28T00:00:00
TXN0000126,ITM00105,WH005,RETURN,141,2025-03-27T00:00:00
TXN0000127,SKU00138,WH003,ADJUSTMENT,100,2024-07-08T00:00:00
TXN0000128,SKU00009,WH002,INBOUND,151,2024-05-05T00:00:00
TXN0000129,PROD00062,WH004,RETURN,48,2023-08-10T00:00:00
TXN0000130,PROD00090,WH002,ADJUSTMENT,153,2024-04-22T00:00:00
TXN0000131,PROD00108,WH004,ADJUSTMENT,125,2023-02-19T00:00:00
TXN0000132,PRO00097,WH004,ADJUSTMENT,73,2025-03-22T00:00:00
TXN0000133,SKU00094,WH002,INBOUND,43,2025-06-09T00:00:00
TXN0000134,ITM00128,WH001,OUTBOUND,-141,2025-01-21T00:00:00
TXN0000135,PROD00123,WH004,RETURN,135,2023-07-09T00:00:00
TXN0000136,ITM00127,WH003,INBOUND,126,2025-04-05T00:00:00
TXN0000137,SKU00079,WH001,OUTBOUND,-133,2023-07-03T00:00:00
TXN0000138,PROD00059,WH004,RETURN,150,2023-11-10T00:00:00
TXN0000139,PRO00081,WH002,OUTBOUND,-114,2023-03-14T00:00:00
TXN0000140,PROD00171,WH002,OUTBOUND,-88,2024-04-08T00:00:00
TXN0000141,SKU00009,WH003,ADJUSTMENT,102,2024-04-01T00:00:00
TXN0000142,PRO00104,WH001,TRANSFER,114,2024-07-21T00:00:00
TXN0000143,PRO00163,WH001,OUTBOUND,-59,2023-04-12T00:00:00
TXN0000144,SKU00120,WH001,INBOUND,130,2025-07-24T00:00:00
TXN0000145,PRO00131,WH004,ADJUSTMENT,104,2023-03-03T00:00:00
TXN0000146,PRO00013,WH004,OUTBOUND,-198,2023-02-13T00:00:00
TXN0000147,PROD00075,WH003,TRANSFER,185,2024-08-08T00:00:00
TXN0000148,PROD00199,WH003, OUTBOUND,-19,2023-09-03T00:00:00
TXN0000149,SKU00159,WH001,INBOUND,182,
TXN0000150,SKU00094,WH004,ADJUSTMENT,166,2024-10-13T00:00:00
TXN0000151,SKU00124,WH003,INBOUND,197,
TXN0000152,PRO00100,WH005,TRANSFER,195,2024-11-21T00:00:00
TXN0000153,PRO00027,WH005,OUTBOUND,-80,2025-04-22T00:00:00
TXN0000154,PROD00125,WH005,RETURN,198,2024-08-28T00:00:00
TXN0000155,SKU00152,WH001,INBOUND,27,2025-08-27T00:00:00
TXN0000156,SKU00118,WH002,RETURN,174,2024-07-06T00:00:00
TXN0000157,PROD00018,WH003,INBOUND,67,2023-10-29T00:00:00
TXN0000158,SKU00089,WH004,INBOUND,190,2023-12-16T00:00:00
TXN0000159,SKU00088,WH001,TRANSFER,73,2024-04-29T00:00:00
TXN0000160,SKU00103,WH001,ADJUSTMENT,5,2023-09-22T00:00:00
TXN0000161,ITM00023,WH004,RETURN,82,2023-01-16T00:00:00
TXN0000162,SKU00143,WH005,TRANSFER,188,2024-10-14T00:00:00
TXN0000163,PRO00007,WH001,TRANSFER,146,2025-03-15T00:00:00
TXN0000164,PRO00085,WH004,INBOUND,177,2025-06-19T00:00:00
TXN0000165,PRO00013,WH005,INBOUND,181,2024-10-01T00:00:00
TXN0000166,PROD00059,WH004,OUTBOUND,-129,2024-07-26T00:00:00
TXN0000167,PRO00074,WH001,TRANSFER ,93,2024-03-28T00:00:00
TXN0000168,PROD00132,WH003,TRANSFER,36,2023-10-24T00:00:00
TXN0000169,PRO00180,WH005,TRANSFER,166,2024-09-22T00:00:00
TXN0000170,PROD00008,WH002,,165,2023-12-27T00:00:00
TXN0000171,SKU00067,WH005,INBOUND,22,2024-08-09T00:00:00
TXN0000172,ITM00040,WH002,TRANSFER,89,2024-12-03T00:00:00
TXN0000173,SKU00069,WH005,RETURN,20,2025-06-06T00:00:00
TXN0000174,SKU00197,WH005,INBOUND,59,2023-12-11T00:00:00
TXN0000175,ITM00135,WH003,TRANSFER,22,2023-01-08T00:00:00
TXN0000176,PROD00165,WH005,INBOUND,182,2024-12-15T00:00:00
TXN0000177,PRO00151,WH002,INBOUND,12,2025-05-27T00:00:00
TXN0000178,ITM00036,WH002,RETURN,164,2025-01-26T00:00:00
TXN0000179,ITM00040,WH002,TRANSFER,72,2024-07-23T00:00:00
TXN0000180,SKU00196,WH002,TRANSFER,100,2023-10-04T00:00:00
TXN0000181,PROD00018,WH004, INBOUND,134,2024-10-11T00:00:00
TXN0000182,PRO00042,WH001,OUTBOUND,-108,2024-01-23T00:00:00
TXN0000183,PROD00102,WH004,ADJUSTMENT,18,2023-05-21T00:00:00
TXN0000184,PRO00100,WH003,OUTBOUND,-131,2025-03-08T00:00:00
TXN0000185,PRO00068,WH004,INBOUND,129,2024-10-24T00:00:00
TXN0000186,PROD00090,WH001,ADJUSTMENT,25,2025-08-07T00:00:00
TXN0000187,SKU00082,WH003,OUTBOUND,-77,2024-01-06T00:00:00
TXN0000188,PROD00056,WH003,ADJUSTMENT,109,2024-02-15T00:00:00
TXN0000189,ITM00112,WH004,RETURN,67,2024-11-01T00:00:00
TXN0000190,PROD00059,WH003,TRANSFER,94,2024-10-11T00:00:00
TXN0000191,PROD00004,WH003,TRANSFER,167,2024-06-16T00:00:00
TXN0000192,PRO00007,WH003,ADJUSTMENT,160,2023-05-11T00:00:00
TXN0000193,SKU00196,WH003,INBOUND,121,2024-10-24T00:00:00
TXN0000194,PRO00012,WH002,OUTBOUND,-169,2024-03-11T00:00:00
TXN0000195,PRO00064,WH005,INBOUND,134,2023-01-27T00:00:00
TXN0000196,PRO00087,WH004,RETURN,146,2024-08-13T00:00:00
TXN0000197,PRO00028,WH002,TRANSFER,68,2023-07-05T00:00:00
TXN0000198,ITM00091,WH001,TRANSFER,179,2024-11-14T00:00:00
TXN0000199,PROD00080,WH004,OUTBOUND,-35,2023-03-12T00:00:00
TXN0000200,ITM00127,WH004,OUTBOUND,-149,2025-07-28T00:00:00
TXN0000201,PRO00180,WH005,OUTBOUND,-144,2025-01-17T00:00:00
TXN0000202,ITM00126,WH005,INBOUND,96,2025-04-20T00:00:00
TXN0000203,PRO00195,WH003,TRANSFER,15,2024-02-21T00:00:00
TXN0000204,ITM00111,WH003,INBOUND,78,2023-11-25T00:00:00
TXN0000205,SKU00140,WH003,INBOUND,120,2025-04-13T00:00:00
TXN0000206,ITM00139,WH002,INBOUND,65,2025-08-18T00:00:00
TXN0000207,SKU00124,WH003,INBOUND,97,2025-03-31T00:00:00
TXN0000208,PROD00123,WH003,OUTBOUND,-53,2023-07-27T00:00:00
TXN0000209,PRO00148,WH002,ADJUSTMENT,158,2024-10-27T00:00:00
TXN0000210,SKU00086,WH002, TRANSFER ,88,2023-01-27T00:00:00
TXN0000211,ITM00175,WH001,OUTBOUND,-177,2024-04-14T00:00:00
TXN0000212,SKU00143,WH005,TRANSFER,156,2024-11-04T00:00:00
TXN0000213,PRO00095,WH001,INBOUND,192,2025-07-14T00:00:00
TXN0000214,PRO00155,WH004,INBOUND,39,2024-04-18T00:00:00
TXN0000215,PROD00062,WH004,INBOUND,4,
TXN0000216,PRO00007,WH004,RETURN,162,2024-11-16T00:00:00
TXN0000217,SKU00194,WH001,INBOUND,167,2023-05-25T00:00:00
TXN0000218,PRO00180,WH002,OUTBOUND,-151,2025-09-20T00:00:00
TXN0000219,PRO00014,WH005,RETURN,51,2025-07-01T00:00:00
TXN0000220,PRO00053,WH002,OUTBOUND,-99,2023-07-17T00:00:00
TXN0000221,ITM00025,WH005,TRANSFER,7,2024-06-17T00:00:00
TXN0000222,PRO00087,WH001,INBOUND,158,2023-12-12T00:00:00
TXN0000223,PRO00012,WH004,INBOUND,181,2025-06-26T00:00:00
TXN0000224,SKU00188,WH002,ADJUSTMENT,44,2024-01-18T00:00:00
TXN0000225,PRO00010,WH001,ADJUSTMENT,41,2023-09-21T00:00:00
TXN0000226,SKU00173,WH002,INBOUND,133,2024-07-13T00:00:00
TXN0000227,SKU00041,WH004,ADJUSTMENT,179,2025-07-07T00:00:00
TXN0000228,PROD00004,WH001, TRANSFER,197,2024-06-13T00:00:00
TXN0000229,SKU00179,WH004,INBOUND,126,2023-01-03T00:00:00
TXN0000230,SKU00142,WH005,INBOUND,149,2025-07-19T00:00:00
TXN0000231,PRO00133,WH004,,41,2024-07-19T00:00:00
TXN0000232,SKU00116,WH003,ADJUSTMENT,166,2023-02-12T00:00:00
TXN0000233,SKU00026,WH002,RETURN,175,2023-09-09T00:00:00
TXN0000234,PROD00004,WH005,RETURN,15,2025-05-11T00:00:00
TXN0000235,PRO00066,WH004,INBOUND,62,2024-04-28T00:00:00
TXN0000236,PROD00051,WH001,RETURN,25,2024-07-05T00:00:00
TXN0000237,SKU00152,WH005,RETURN,4,2024-08-08T00:00:00
TXN0000238,PROD00132,WH002,ADJUSTMENT,180,2024-11-11T00:00:00
TXN0000239,PROD00178,WH004,RETURN,108,2023-02-23T00:00:00
TXN0000240,PROD00125,WH005,TRANSFER,143,2024-04-28T00:00:00
TXN0000241,SKU00061,WH005,ADJUSTMENT,135,2024-02-13T00:00:00
TXN0000242,PROD00073,WH001,INBOUND,30,2025-08-09T00:00:00
TXN0000243,PROD00084,WH002,OUTBOUND,-47,2023-05-20T00:00:00
TXN0000244,PRO00146,WH004,OUTBOUND,-7,2024-04-19T00:00:00
TXN0000245,ITM00050,WH003,RETURN,168,2024-11-17T00:00:00
TXN0000246,SKU00079,WH001,TRANSFER,64,2024-11-15T00:00:00
TXN0000247,SKU00103,WH003,ADJUSTMENT,93,2025-07-21T00:00:00
TXN0000248,PROD00132,WH001,TRANSFER,41,2023-05-07T00:00:00
TXN0000249,SKU00054,WH001,OUTBOUND,-124,2024-06-08T00:00:00
TXN0000250,PRO00198,WH004,RETURN,97,2024-02-07T00:00:00
TXN0000251,PROD00059,WH003,OUTBOUND,-59,2023-02-04T00:00:00
TXN0000252,PROD00165,WH001,OUTBOUND ,-118,2025-08-19T00:00:00
TXN0000253,PRO00037,WH003,TRANSFER,164,2025-08-31T00:00:00
TXN0000254,PROD00153,WH004,RETURN,158,2024-11-20T00:00:00
TXN0000255,PRO00146,WH003,TRANSFER,54,2025-06-26T00:00:00
TXN0000256,ITM00166,WH001,OUTBOUND,-81,2025-04-14T00:00:00
TXN0000257,ITM00127,WH002,OUTBOUND,-172,2025-06-17T00:00:00
TXN0000258,PRO00068,WH002,TRANSFER,50,2023-02-06T00:00:00
TXN0000259,ITM00058,WH001,OUTBOUND,-92,2024-11-14T00:00:00
TXN0000260,ITM00176,WH003,TRANSFER,63,2025-04-01T00:00:00
TXN0000261,PRO00133,WH002,RETURN,72,2023-04-27T00:00:00
TXN0000262,PRO00060,WH002,INBOUND,69,2024-05-30T00:00:00
TXN0000263,SKU00194,WH003,OUTBOUND,-164,2025-09-19T00:00:00
TXN0000264,PRO00150,WH002,TRANSFER,6,2023-08-10T00:00:00
TXN0000265,SKU00098,WH004,RETURN,43,2024-07-31T00:00:00
TXN0000266,SKU00031,WH005,INBOUND,143,2025-01-14T00:00:00
TXN0000267,PROD00106,WH001,OUTBOUND,-105,2023-11-05T00:00:00
TXN0000268,PRO00087,WH003,RETURN,27,2023-03-12T00:00:00
TXN0000269,ITM00034,WH005,TRANSFER,77,2025-08-18T00:00:00
TXN0000270,PROD00199,WH001,ADJUSTMENT,130,2023-05-09T00:00:00
TXN0000271,PRO00007,WH005,OUTBOUND,-69,2025-02-26T00:00:00
TXN0000272,PROD00132,WH004,OUTBOUND,-51,2024-07-30T00:00:00
TXN0000273,ITM00111,WH004,TRANSFER,83,2024-02-29T00:00:00
TXN0000274,ITM00189,WH001,TRANSFER,184,2024-06-28T00:00:00
TXN0000275,SKU00057,WH004,INBOUND,91,2023-10-14T00:00:00
TXN0000276,ITM00166,WH002,INBOUND,79,2023-05-26T00:00:00
TXN0000277,PROD00084,WH003,RETURN,146,2025-07-02T00:00:00
TXN0000278,ITM00127,WH001,OUTBOUND,-185,2024-01-25T00:00:00
TXN0000279,PROD00184,WH001,TRANSFER,126,2024-06-05T00:00:00
TXN0000280,PROD00199,WH003,ADJUSTMENT,1,2025-03-28T00:00:00
TXN0000281,PROD00044,WH004,INBOUND,140,2023-11-01T00:00:00
TXN0000282,PRO00095,WH001,INBOUND,15,2024-03-03T00:00:00
TXN0000283,PRO00032,WH005,RETURN,184,2023-09-18T00:00:00
TXN0000284,SKU00142,WH002,RETURN,76,2025-06-01T00:00:00
TXN0000285,SKU00082,WH002,RETURN,72,2025-09-02T00:00:00
TXN0000286,ITM00096,WH004,RETURN,105,2024-08-02T00:00:00
TXN0000287,ITM00139,WH003,INBOUND,57,2025-06-28T00:00:00
TXN0000288,PROD00059,WH004,OUTBOUND,-55,2025-09-05T00:00:00
TXN0000289,PROD00123,WH001,RETURN,74,2023-06-06T00:00:00
TXN0000290,ITM00112,WH004,RETURN,129,2023-10-04T00:00:00
TXN0000291,SKU00094,WH001,RETURN,94,2023-09-27T00:00:00
TXN0000292,PRO00097,WH001,ADJUSTMENT,57,2023-07-04T00:00:00
TXN0000293,PRO00014,WH002,ADJUSTMENT,142,2023-09-16T00:00:00
TXN0000294,ITM00200,WH001,ADJUSTMENT,3,2024-02-20T00:00:00
TXN0000295,ITM00135,WH001,TRANSFER,71,2025-06-22T00:00:00
TXN0000296,SKU00194,WH003,TRANSFER,144,2023-01-07T00:00:00
TXN0000297,ITM00015,WH003,RETURN,88,2025-09-28T00:00:00
TXN0000298,PRO00060,WH002,TRANSFER,30,2023-08-30T00:00:00
TXN0000299,SKU00140,WH004,OUTBOUND,-82,2025-08-07T00:00:00
TXN0000300,SKU00067,WH005,INBOUND,198,2023-02-12T00:00:00
TXN0000301,ITM00043,WH004, OUTBOUND,-180,2025-05-25T00:00:00
TXN0000302,ITM00071,WH002,ADJUSTMENT,111,2023-02-11T00:00:00
TXN0000303,PRO00003,WH003,,71,2024-07-31T00:00:00
TXN0000304,SKU00035,WH005,TRANSFER,100,2023-05-18T00:00:00
TXN0000305,PRO00109,WH001,ADJUSTMENT,130,2025-01-01T00:00:00
TXN0000306,SKU00061,WH001,ADJUSTMENT,157,2025-09-13T00:00:00
TXN0000307,SKU00140,WH004,INBOUND,136,2024-05-24T00:00:00
TXN0000308,SKU00041,WH004,RETURN,112,2024-09-02T00:00:00
TXN0000309,SKU00179,WH004,RETURN,130,2023-06-05T00:00:00
TXN0000310,PROD00160,WH004,TRANSFER,41,2024-12-16T00:00:00
TXN0000311,PROD00145,WH001,TRANSFER,56,2023-05-28T00:00:00
TXN0000312,SKU00159,WH001,OUTBOUND,-114,2025-06-08T00:00:00
TXN0000313,PRO00074,WH003,RETURN,102,2023-02-14T00:00:00
TXN0000314,PROD00080,WH002,ADJUSTMENT,151,2023-05-28T00:00:00
TXN0000315,PRO00144,WH005,TRANSFER,143,
TXN0000316,SKU00067,WH003,,117,2023-09-12T00:00:00
TXN0000317,PRO00146,WH004,TRANSFER,57,2025-03-20T00:00:00
TXN0000318,SKU00020,WH003,RETURN,189,2025-01-31T00:00:00
TXN0000319,ITM00034,WH004,TRANSFER,93,2023-01-04T00:00:00
TXN0000320,ITM00063,WH004,TRANSFER,127,2023-11-07T00:00:00
TXN0000321,PROD00178,WH001,ADJUSTMENT,197,2024-11-03T00:00:00
TXN0000322,PROD00073,WH005,TRANSFER,171,2023-03-25T00:00:00
TXN0000323,PRO00155,WH003,TRANSFER,78,2023-07-13T00:00:00
TXN0000324,ITM00091,WH001,INBOUND,102,2023-05-04T00:00:00
TXN0000325,SKU00138,WH004,ADJUSTMENT,92,2024-03-07T00:00:00
TXN0000326,PRO00003,WH003,OUTBOUND,-184,2023-05-27T00:00:00
TXN0000327,ITM00189,WH002,TRANSFER,170,2023-02-21T00:00:00
TXN0000328,PRO00076,WH003,OUTBOUND,-95,2025-08-16T00:00:00
TXN0000329,ITM00158,WH001,ADJUSTMENT,34,2025-08-02T00:00:00
TXN0000330,PRO00146,WH004,TRANSFER,141,2025-05-27T00:00:00
TXN0000331,SKU00046,WH003,TRANSFER,147,2025-07-12T00:00:00
TXN0000332,SKU00094,WH001,TRANSFER,136,2024-07-30T00:00:00
TXN0000333,SKU00057,WH003,INBOUND,41,2023-01-29T00:00:00
TXN0000334,ITM00176,WH002, OUTBOUND,-167,2023-03-23T00:00:00
TXN0000335,SKU00138,WH002,OUTBOUND,-144,2025-07-06T00:00:00
TXN0000336,SKU00124,WH002,TRANSFER,42,2024-08-09T00:00:00
TXN0000337,PRO00030,WH004,RETURN,187,
TXN0000338,SKU00083,WH001,ADJUSTMENT,187,2025-09-16T00:00:00
TXN0000339,PROD00006,WH004,TRANSFER,38,2025-03-17T00:00:00
TXN0000340,PRO00007,WH004,INBOUND,172,2024-08-29T00:00:00
TXN0000341,PROD00075,WH004,TRANSFER,16,2023-07-12T00:00:00
TXN0000342,PRO00012,WH001,,74,2024-03-25T00:00:00
TXN0000343,PROD00051,WH004,,70,2024-03-05T00:00:00
TXN0000344,PROD00024,WH005,RETURN,40,2024-11-04T00:00:00
TXN0000345,PROD00004,WH005,OUTBOUND,-53,2023-07-01T00:00:00
TXN0000346,SKU00009,WH005,OUTBOUND,-46,2024-11-23T00:00:00
TXN0000347,PROD00125,WH001,OUTBOUND,-42,2024-09-08T00:00:00
TXN0000348,ITM00058,WH002,RETURN,136,2023-08-12T00:00:00
TXN0000349,PROD00080,WH001,RETURN,5,2023-07-05T00:00:00
TXN0000350,PRO00092,WH002,RETURN,41,2024-11-23T00:00:00
TXN0000351,SKU00057,WH004,ADJUSTMENT,140,2024-01-15T00:00:00
TXN0000352,ITM00126,WH005,ADJUSTMENT,46,2025-02-02T00:00:00
TXN0000353,PRO00109,WH003,RETURN,125,2025-05-15T00:00:00
TXN0000354,ITM00113,WH005,ADJUSTMENT,9,2024-10-09T00:00:00
TXN0000355,ITM00175,WH001,ADJUSTMENT,22,2023-01-28T00:00:00
TXN0000356,PRO00055,WH001,ADJUSTMENT,88,2024-04-20T00:00:00
TXN0000357,SKU00103,WH003,,194,2024-11-18T00:00:00
