purchase_order_id,supplier_id,sku,qty_ordered,order_date,expected_delivery_date,delivery_status
PO000033,SUP003,SKU00067,183,2023-07-13,2023-08-04,Pending
PO000034,SUP024,PROD00045,495,2023-03-27,2023-05-10,In Transit
PO000035,SUP028,ITM00021,412,2024-04-21,2024-05-02,Delayed
PO000036,SUP019,PRO00007,56,2024-08-14,2024-10-03,Pending
PO000037,SUP027,PROD00059,438,2023-02-16,2023-03-17,Pending
PO000038,SUP002,ITM00200,368,2023-08-28,2023-10-02,Pending
PO000039,SUP014,PROD00102,374,2025-08-24,2025-10-11,Pending
PO000040,SUP026,SKU00141,538,2025-09-29,2025-10-25,Pending
PO000041,SUP008,ITM00176,315,2024-03-08,2024-03-23, In Transit
PO000042,SUP011,PRO00133,270,2025-06-19,2025-07-30,Delayed
PO000043,SUP028,PRO00198,85,2023-02-28,2023-03-20,Delivered
PO000044,SUP025,PROD00075,423,2025-08-20,2025-08-25,In Transit
PO000045,SUP028,PRO00060,537,2023-10-17,2023-11-22,Delayed
PO000046,SUP021,PROD00080,206,2023-06-19,2023-06-24,Delayed
PO000047,SUP022,PROD00008,294,2024-01-28,2024-02-21,Pending
PO000048,SUP029,ITM00001,81,2024-12-01,2024-12-29,Pending
PO000049,SUP027,PROD00080,285,2025-07-27,2025-08-13,Delivered
PO000050,SUP029,ITM00110,436,2023-03-07,2023-04-21,In Transit
PO000051,SUP028,PROD00165,516,2025-05-17,2025-06-25,In Transit
PO000052,SUP005,PROD00160,162,2023-04-27,2023-06-06,In Transit
PO000053,SUP020,SKU00020,230,2024-05-24,2024-06-11,Delivered
PO000054,SUP028,SKU00069,75,2024-03-02,2024-04-07,Delayed
PO000055,SUP016,PRO00047,287,2024-09-24,2024-10-31,Delayed
PO000056,SUP025,PROD00049,539,2023-01-25,2023-02-01,Delivered 
PO000057,SUP020,SKU00088,302,2023-02-24,2023-03-11,In Transit 
PO000058,SUP004,ITM00033,413,2025-03-01,2025-04-13,In Transit
PO000059,SUP018,SKU00154,269,2023-12-06,2023-12-26,Pending
PO000060,SUP024,PROD00051,294,2023-05-11,2023-05-27,Pending
PO000061,SUP001,PRO00151,158,2023-06-19,2023-07-05,Pending
PO000062,SUP015,PROD00090,99,2023-07-15,2023-07-26,Cancelled
PO000063,SUP027,PROD00016,84,2023-09-04,2023-09-12,In Transit
PO000064,SUP020,PRO00042,267,2023-11-15,2023-11-30,Cancelled
PO000065,SUP021,SKU00046,320,2023-05-13,2023-05-21,Pending
PO000066,SUP016,PRO00022,319,2025-03-21,2025-04-10,Delayed
PO000067,SUP015,SKU00190,511,2025-01-21,2025-02-21,Delayed
PO000068,SUP020,PRO00156,480,2023-03-25,2023-04-04,Delivered
PO000069,SUP002,PROD00102,453,2024-08-06,2024-09-16,Delivered
PO000070,SUP025,ITM00134,348,2024-07-31,2024-09-08,
PO000071,SUP013,PRO00092,74,2025-01-27,2025-03-03,In Transit
PO000072,SUP017,PROD00147,246,2024-09-06,2024-09-22,Delivered
PO000073,SUP028,SKU00083,500,2023-01-17,2023-01-22,Pending
PO000074,SUP003,PROD00177,258,2025-03-21,2025-05-03,In Transit
PO000075,SUP004,ITM00139,126,03/09/2025,2025-03-24,Delayed 
PO000076,SUP012,ITM00114,428,2023-03-01,2023-03-22,In Transit
PO000077,SUP007,ITM00166,98,2024-06-07,2024-06-28,In Transit
PO000078,SUP013,PRO00156,,2024-06-07,2024-06-14,Delivered
PO000079,SUP004,PRO00012,380,2023-11-03,2023-12-08,Delivered
PO000080,SUP003,PROD00084,449,2024-12-13,2024-12-30,In Transit
PO000081,SUP016,SKU00173,428,2024-06-03,2024-06-25,Delayed
PO000082,SUP016,PRO00195,429,2024-03-06,2024-03-27,Pending
PO000083,SUP006,ITM00036,371,2024-08-06,2024-08-13,Cancelled
PO000084,SUP019,SKU00190,67,2025-02-07,2025-03-13,Cancelled
PO000085,SUP024,ITM00105,86,2024-01-12,2024-02-02,Delayed
PO000086,SUP020,PRO00119,187,,2025-11-02,Delayed
PO000087,SUP022,PROD00153,439,2024-12-28,2025-02-16,Cancelled
PO000088,SUP029,PRO00037,484,2024-10-24,2024-12-13,Pending
PO000089,SUP027,PROD00136,473,2024-11-22,2024-12-14,Pending
PO000090,SUP018,SKU00098,415,2023-09-25,2023-10-15,Pending
PO000091,SUP023,PROD00044,422,2025-02-10,2025-03-26,Delayed
PO000092,SUP005,PRO00014,60,2023-09-13,2023-10-23,In Transit
PO000093,SUP009,PRO00183,149,2023-12-11,2024-01-02,Cancelled
PO000094,SUP012,PROD00062,387,2023-11-14,2023-11-23,Delayed
PO000095,SUP020,SKU00124,490,2023-07-06,2023-07-11,Pending
PO000096,SUP005,PRO00022,322,2025-05-13,2025-05-25,Pending
PO000097,SUP030,SKU00159,463,,2024-02-17,Delayed
PO000098,SUP026,SKU00009,183,2024-12-10,2024-12-26,Delivered
PO000099,SUP007,PRO00131,531,2024-10-29,2024-12-09,Pending
PO000100,SUP030,ITM00096,452,2025-01-30,2025-02-21,Delayed
PO000101,SUP007,PROD00056,209,2024-02-05,2024-02-16,Cancelled
PO000102,SUP028,ITM00105,220,2023-06-30,2023-07-15,Cancelled
PO000103,SUP002,PROD00184,385,2023-08-04,2023-09-08,Delivered
PO000104,SUP010,SKU00152,114,2023-03-10,2023-04-09, In Transit
PO000105,SUP012,PROD00178,237,2023-03-03,2023-03-11,Delayed
PO000106,SUP011,PRO00014,419,2025-03-11,2025-03-31,
PO000107,SUP003,PRO00133,51,2024-11-29,2024-12-25,Pending
PO000108,SUP018,ITM00065,401,2025-01-25,2025-02-21,Delivered
PO000109,SUP001,SKU00035,233,2023-03-10,2023-03-24,Cancelled
PO000110,SUP019,ITM00021,150,2025-02-23,2025-03-10,Delayed
PO000111,SUP003,ITM00077,51,2025-06-15,2025-07-22,Delivered
PO000112,SUP016,PROD00073,334,2024-12-03,2024-12-09,In Transit
PO000113,SUP026,PRO00155,435,2023-08-29,2023-09-29,In Transit
PO000114,SUP010,PROD00191,61,2024-12-26,2025-02-14,In Transit
PO000115,SUP023,PRO00012,309,2023-02-25,2023-03-08,Cancelled
PO000116,SUP028,PROD00182,,,2025-09-20,In Transit
PO000117,SUP002,SKU00026,434,2024-05-23,2024-05-29,Delayed
PO000118,SUP012,ITM00077,99,2025-07-09,2025-07-28,In Transit
PO000119,SUP025,PROD00129,255,2023-01-27,2023-03-06,In Transit
PO000120,SUP009,SKU00159,516,2023-09-11,2023-10-23,Pending
PO000121,SUP026,PROD00168,388,2024-09-22,2024-10-18,In Transit
PO000122,SUP027,PROD00008,475,2025-02-14,2025-03-27,Cancelled
PO000123,SUP011,PROD00084,244,2025-09-14,2025-10-20,In Transit
PO000124,SUP019,PRO00060,141,2024-02-25,2024-03-11,Cancelled 
PO000125,SUP010,PRO00155,72,2024-11-23,2024-12-25,Delivered
PO000126,SUP028,ITM00139,298,2024-03-09,2024-04-05,In Transit
PO000127,SUP013,ITM00040,463,2024-02-19,2024-03-31,In Transit
PO000128,SUP012,ITM00127,179,,2025-04-08,Pending
PO000129,SUP005,ITM00036,469,2025-06-26,28-07-2025,In Transit
PO000130,SUP008,PRO00028,348,2023-01-30,2023-02-04,Cancelled
PO000131,SUP006,PROD00149,421,2025-01-30,2025-03-18,Cancelled
PO000132,SUP030,PRO00010,188,2023-01-23,2023-03-01,Cancelled
PO000133,SUP027,PROD00016,416,2023-12-11,2023-12-16,Pending
PO000134,SUP027,PROD00123,352,2025-02-10,2025-02-27,Delayed
PO000135,SUP009,PRO00162,536,2024-09-19,2024-10-27,Delivered
PO000136,SUP018,PRO00053,189,2024-09-16,2024-10-03,Delivered
PO000137,SUP017,PRO00007,454,2025-05-21,2025-07-10,In Transit
PO000138,SUP011,SKU00186,172,2025-09-11,2025-09-21,Cancelled
PO000139,SUP028,ITM00033,368,2024-03-27,2024-04-05,In Transit
PO000140,SUP024,PRO00078,508,,2025-02-09,Cancelled
PO000141,SUP020,PROD00059,533,2024-03-16,2024-04-22,Cancelled
PO000142,SUP011,ITM00172,344,2025-07-30,2025-09-18,Pending
PO000143,SUP029,PRO00068,82,17-02-2024,2024-03-19,Delayed
PO000144,SUP024,PROD00153,349,2025-04-15,2025-05-22,Delivered
PO000145,SUP030,PRO00087,122,2023-07-07,2023-07-21,Delayed
PO000146,SUP030,ITM00134,221,2024-04-23,2024-06-01,In Transit
PO000147,SUP013,SKU00154,509,2023-07-14,2023-08-12,Delivered
PO000148,SUP015,SKU00188,238,2023-04-29,06/04/2023,Delayed
PO000149,SUP008,PRO00078,440,2024-03-10,2024-04-23,In Transit
PO000150,SUP025,ITM00114,371,2024-08-21,2024-09-27,In Transit
PO000151,SUP025,ITM00065,476,2025-02-08,2025-02-18,Pending
PO000152,SUP020,ITM00040,160,2025-04-02,2025-04-21,Delayed
PO000153,SUP009,SKU00020,369,2024-07-16,2024-07-30,Pending
PO000154,SUP026,PROD00129,70,2024-07-22,2024-09-03,In Transit
PO000155,SUP005,SKU00094,191,2025-06-17,2025-07-03,Delayed
PO000156,SUP030,PROD00090,371,2023-12-02,2023-12-24,Delayed
PO000157,SUP006,ITM00058,,2025-05-05,2025-05-30,In Transit
PO000158,SUP015,PRO00198,458,03/09/2025,2025-04-11,In Transit
PO000159,SUP005,PRO00155,148,,2025-03-15,Cancelled
PO000160,SUP020,ITM00111,537,2025-09-21,2025-10-10,Delayed
PO000161,SUP004,PRO00148,153,2023-09-25,2023-10-07,Pending
PO000162,SUP020,SKU00046,65,2023-06-24,2023-08-09,In Transit
PO000163,SUP016,PROD00145,480,2024-05-04,2024-05-29,Delivered
PO000164,SUP026,ITM00091,165,2024-06-03,2024-07-08,Delivered
PO000165,SUP026,ITM00134,172,2024-06-10,2024-06-22,Pending
PO000166,SUP023,PRO00193,347,2024-10-07,2024-11-10,Delivered
PO000167,SUP027,SKU00072,288,2023-05-19,2023-06-03,Pending
PO000168,SUP019,ITM00189,462,2023-07-24,2023-09-02,In Transit
PO000169,SUP018,PRO00087,394,2024-02-16,2024-03-29,In Transit
PO000170,SUP007,PRO00087,250,2024-01-14,2024-03-02,Delayed
PO000171,SUP003,PRO00161,133,2025-01-28,2025-03-09,Pending
PO000172,SUP023,PROD00145,427,2024-12-12,2024-12-25,Pending
PO000173,SUP013,PROD00016,57,2023-05-16,2023-05-27,Delayed
PO000174,SUP028,PRO00014,514,2024-11-19,2024-11-25,Pending
PO000175,SUP009,SKU00118,374,2023-02-12,2023-03-10,Pending
PO000176,SUP013,SKU00086,121,2024-11-09,2024-11-16,Pending
PO000177,SUP017,PROD00004,503,2025-05-03,2025-05-26,Delivered
PO000178,SUP028,PROD00048,435,2023-04-06,2023-04-17,Cancelled
PO000179,SUP010,SKU00101,277,2023-07-14,2023-08-07,Delivered
PO000180,SUP023,PRO00028,132,2024-12-10,2025-01-03,Delayed
PO000181,SUP001,PRO00146,291,2024-06-29,2024-08-02,In Transit
PO000182,SUP001,PRO00014,207,2024-07-14,2024-07-26,Cancelled
PO000183,SUP002,SKU00046,380,,2023-07-16,Delayed
PO000184,SUP021,PRO00092,96,2023-04-10,2023-04-26,Pending
PO000185,SUP019,PROD00149,418,2023-09-27,2023-10-29,Pending
PO000186,SUP007,PROD00178,166,2025-07-20,2025-08-01,Delayed
PO000187,SUP022,ITM00040,439,2025-07-20,2025-08-30,In Transit
PO000188,SUP006,PROD00187,98,,2024-03-02,Delivered
PO000189,SUP021,PRO00195,339,09/25/2025,2025-10-31,Delivered
PO000190,SUP011,PRO00162,148,2025-07-11,2025-08-24, Delivered
PO000191,SUP018,ITM00071,493,2024-07-25,2024-08-18,In Transit
PO000192,SUP017,SKU00054,479,2024-02-09,2024-03-05,
PO000193,SUP017,PRO00012,183,2023-09-22,2023-11-05,Pending
PO000194,SUP013,PROD00006,308,2024-05-07,2024-06-26,Delivered
PO000195,SUP028,ITM00172,68,2023-12-28,2024-02-04,Delivered
PO000196,SUP017,PROD00080,476,2025-03-18,2025-04-18,Delivered
PO000197,SUP012,PRO00078,273,2024-01-22,2024-02-23,Cancelled
PO000198,SUP015,SKU00197,141,2024-09-20,2024-10-11,In Transit
PO000199,SUP003,PROD00182,153,2024-06-08,2024-07-28, Pending
PO000200,SUP026,ITM00025,393,2025-01-05,2025-01-13,Pending
PO000201,SUP001,PROD00171,63,2024-02-25,2024-04-07,Pending
PO000202,SUP005,PRO00092,468,2024-06-29,2024-08-05,In Transit
PO000203,SUP014,PROD00062,187,2025-07-07,2025-07-24,In Transit
PO000204,SUP013,SKU00035,128,2025-03-17,2025-05-05,Delivered
PO000205,SUP017,SKU00083,348,2024-06-10,2024-06-19,In Transit
PO000206,SUP002,PRO00005,319,2024-02-01,2024-03-19,Cancelled
PO000207,SUP030,PROD00045,123,2024-05-21,2024-07-07,Delayed
PO000208,SUP027,SKU00143,340,2024-03-22,2024-04-30,Delivered
PO000209,SUP004,PROD00107,294,2024-10-03,2024-10-11,Delivered
PO000210,SUP020,PROD00090,144,2023-03-09,2023-04-11,Delivered
PO000211,SUP019,SKU00094,458,2025-02-09,2025-03-01,Pending
PO000212,SUP019,SKU00141,359,2023-02-14,2023-03-15,Delayed
PO000213,SUP022,PROD00045,61,2023-03-25,2023-03-30,Delayed
PO000214,SUP023,PROD00177,469,2023-04-29,2023-05-06,Delivered
PO000215,SUP021,SKU00138,437,11-10-2023,2023-10-16,Delayed
PO000216,SUP003,SKU00179,244,2023-05-03,2023-06-11,Pending
PO000217,SUP016,PRO00010,442,2023-08-02,2023-09-01,Pending
PO000218,SUP026,SKU00031,473,2025-08-26,2025-09-12,Cancelled
PO000219,SUP003,ITM00111,285,2023-08-26,2023-10-10,Pending
PO000220,SUP003,PRO00053,456,2025-04-02,2025-05-21,In Transit
PO000221,SUP027,PROD00187,298,2025-07-27,2025-08-16,Cancelled
PO000222,SUP011,PROD00090,239,2023-08-13,2023-08-21,Pending
PO000223,SUP012,PROD00199,191,2024-06-20,2024-07-31,Pending
PO000224,SUP023,PROD00165,346,2023-05-27,2023-07-15,Pending
PO000225,SUP014,SKU00101,524,2025-09-03,2025-10-05,Cancelled
PO000226,SUP018,SKU00082,55,2024-01-10,2024-02-02,Pending
PO000227,SUP022,PROD00056,524,2023-01-02,2023-01-16,Delayed
PO000228,SUP018,PRO00198,383,2023-12-31,2024-01-07,Cancelled
PO000229,SUP005,PRO00146,304,2023-08-02,2023-08-27,In Transit
PO000230,SUP022,ITM00033,442,2024-10-15,2024-10-29,
PO000231,SUP001,SKU00103,203,2024-08-16,2024-08-23,Cancelled
PO000232,SUP007,SKU00190,502,2024-12-31,2025-01-21,Delivered
PO000233,SUP001,PROD00191,131,2025-01-29,2025-03-11,Delivered
PO000234,SUP004,PRO00066,389,2024-01-09,2024-02-11,Delivered
PO000235,SUP015,PRO00150,388,2024-01-09,2024-02-21,Pending
PO000236,SUP001,PROD00062,140,2023-12-02,2024-01-03,Delivered
PO000237,SUP009,ITM00139,523,2023-11-02,2023-11-25,
PO000238,SUP007,SKU00196,432,,2024-11-11,Pending
PO000239,SUP023,SKU00093,151,2024-03-27,2024-05-01,Cancelled
PO000240,SUP001,PROD00167,130,2024-05-05,2024-06-16,In Transit
PO000241,SUP027,ITM00021,103,2023-08-24,2023-09-06,Delayed
PO000242,SUP009,PROD00051,99,2023-03-25,04/25/2023,Delivered
PO000243,SUP024,PRO00131,107,2023-07-20,2023-07-25,In Transit
PO000244,SUP008,SKU00009,225,2024-07-29,2024-09-10,Cancelled
PO000245,SUP009,ITM00011,311,2023-04-09,2023-05-26,In Transit
PO000246,SUP020,SKU00197,498,2025-01-30,2025-02-17,Delayed
PO000247,SUP022,PRO00131,415,2024-08-25,2024-09-09,Cancelled
PO000248,SUP026,PRO00161,55,2025-05-31,2025-06-23,Delayed
PO000249,SUP014,ITM00176,50,2024-07-12,2024-08-13,Delivered
PO000250,SUP006,PROD00132,242,2025-01-21,2025-01-26,Cancelled
PO000251,SUP010,PROD00177,543,2024-02-16,2024-03-14,Delayed
PO000252,SUP010,PRO00039,200,,2023-09-25,Delayed
PO000253,SUP017,PROD00136,110,2023-06-01,2023-07-07,In Transit
PO000254,SUP013,PRO00027,62,2023-03-21,2023-04-22,In Transit
PO000255,SUP007,PROD00164,138,2023-07-22,2023-08-24,Cancelled
PO000256,SUP012,SKU00138,62,2023-07-24,2023-08-19,Delivered
PO000257,SUP008,ITM00065,529,2023-03-03,2023-03-23,Delivered
PO000258,SUP005,PRO00131,188,2023-09-30,2023-11-04,In Transit
PO000259,SUP014,PRO00151,518,2024-12-29,2025-01-30,Delayed
PO000260,SUP011,ITM00077,403,2024-02-22,2024-03-04,In Transit
PO000261,SUP010,ITM00070,118,2025-09-18,2025-10-16,In Transit
PO000262,SUP021,ITM00040,215,2023-12-25,2024-01-15,Delivered
PO000263,SUP018,PROD00160,411,2024-03-15,2024-03-23,In Transit
PO000264,SUP017,PROD00106,284,2024-04-11,2024-05-11,In Transit
PO000265,SUP006,SKU00141,352,2023-07-19,2023-08-29,Cancelled
PO000266,SUP007,SKU00138,510,,2025-06-30,Pending
PO000267,SUP030,PROD00168,535,2024-08-07,2024-09-03,Cancelled
PO000268,SUP007,ITM00001,,2025-08-01,2025-08-22,Delivered
PO000269,SUP012,PRO00151,397,2023-05-22,2023-07-11,Delayed
PO000270,SUP010,ITM00043,545,2025-02-14,2025-02-19,Pending
PO000271,SUP009,ITM00114,469,2023-07-22,2023-09-02,Delivered
PO000272,SUP005,ITM00025,375,2024-10-07,2024-11-26,Delivered
PO000273,SUP012,PROD00090,356,2025-09-29,2025-10-14,Delayed
PO000274,SUP004,PROD00185,332,2024-08-13,2024-08-30, Delivered 
PO000275,SUP010,PRO00037,55,2025-02-24,2025-04-02,In Transit
PO000276,SUP027,SKU00181,396,2024-04-16,2024-05-12,Delayed
PO000277,SUP017,PROD00006,52,2024-05-08,2024-05-29,Delivered
PO000278,SUP002,PRO00007,270,2023-09-30,2023-11-10,Delayed
PO000279,SUP003,ITM00112,,2024-08-18,2024-08-24,
PO000280,SUP002,ITM00139,272,2023-01-07,2023-02-09,In Transit
PO000281,SUP016,PRO00032,171,2023-03-08,2023-03-26,Delayed
PO000282,SUP007,PRO00155,546,2023-03-14,2023-04-22,Cancelled
PO000283,SUP003,PRO00104,88,2023-06-11,2023-07-03,Delivered
PO000284,SUP026,PRO00005,334,2025-04-09,2025-05-29,Delayed
PO000285,SUP020,SKU00159,106,2025-08-22,2025-09-29,In Transit
PO000286,SUP022,ITM00033,109,05/04/2024,2024-06-20,Cancelled
PO000287,SUP030,SKU00057,499,2024-10-30,2024-11-19,Pending
PO000288,SUP024,PRO00052,358,2023-01-07,2023-01-23,Delayed
PO000289,SUP005,ITM00036,521,2023-03-10,2023-04-29,Delivered
PO000290,SUP013,ITM00071,335,2024-07-13,2024-08-23,Pending
PO000291,SUP028,SKU00159,251,2025-09-20,10-10-2025,Cancelled
PO000292,SUP030,PRO00180,139,2024-01-01,2024-01-10,Delivered
PO000293,SUP001,PROD00084,339,2023-06-23,2023-07-05,In Transit
PO000294,SUP021,SKU00120,138,2024-03-06,2024-04-14,Delayed
PO000295,SUP006,SKU00142,74,2025-05-03,2025-06-22,Pending
PO000296,SUP029,PROD00129,339,2024-04-26,2024-06-07,Cancelled 
PO000297,SUP018,SKU00181,478,2023-12-04,2023-12-11,Cancelled
PO000298,SUP015,SKU00067,76,2024-09-18,2024-11-01,Delivered
PO000299,SUP019,SKU00152,116,2025-01-02,2025-01-19,Pending
PO000300,SUP022,PRO00144,69,2023-10-13,2023-11-09,Delivered
PO000301,SUP030,SKU00082,153,2024-01-09,2024-01-20,Pending 
PO000302,SUP001,SKU00154,316,2025-05-24,2025-06-14,Delayed
PO000303,SUP013,PRO00068,244,2025-03-17,2025-03-31,Cancelled
PO000304,SUP019,PRO00133,295,2025-04-04,2025-05-16,Delivered
PO000305,SUP002,SKU00124,407,2025-07-14,2025-07-27,Delivered
PO000306,SUP015,PROD00084,546,2023-07-25,2023-09-06,Pending
PO000307,SUP027,PRO00157,282,2024-04-08,2024-05-22,In Transit
PO000308,SUP017,PROD00187,99,2025-04-26,2025-05-26,In Transit
PO000309,SUP004,SKU00143,421,2024-10-19,2024-11-17,
PO000310,SUP021,PROD00073,440,2023-10-14,2023-11-28,Pending
PO000311,SUP004,SKU00035,218,2024-02-26,2024-03-30,Delayed
PO000312,SUP021,SKU00190,453,2024-12-06,2025-01-04,Pending
PO000313,SUP016,PROD00080,403,2024-05-02,2024-05-14,Cancelled
PO000314,SUP027,ITM00166,128,2024-02-23,2024-03-20, Cancelled 
PO000315,SUP019,PROD00178,449,2024-10-09,2024-11-01,In Transit
PO000316,SUP021,PROD00102,404,2023-01-29,2023-02-14,In Transit
PO000317,SUP008,SKU00094,188,2023-01-12,2023-02-04,Pending
PO000318,SUP025,SKU00083,283,2024-09-13,2024-10-07,Cancelled
PO000319,SUP013,SKU00179,470,2023-03-28,2023-04-08,Delivered
PO000320,SUP020,PROD00008,550,2024-03-16,2024-03-27,Pending
PO000321,SUP028,PROD00185,286,2025-04-09,2025-05-22,Cancelled
PO000322,SUP024,ITM00128,313,2025-05-04,2025-06-17,Pending
PO000323,SUP015,ITM00021,87,2024-08-10,2024-08-29,In Transit
PO000324,SUP026,PROD00165,405,2023-09-06,2023-09-30,Cancelled
PO000325,SUP012,SKU00141,166,2025-01-07,2025-01-12,In Transit
PO000326,SUP021,PRO00092,283,2024-05-06,2024-05-25,Pending
PO000327,SUP017,PRO00052,534,2024-08-30,2024-09-12,Cancelled
PO000328,SUP030,PRO00156,523,04/06/2025,2025-04-24,Cancelled
PO000329,SUP023,SKU00138,465,2024-07-30,2024-08-20,Cancelled
PO000330,SUP021,ITM00034,,2023-11-10,2023-11-30,Delayed
PO000331,SUP004,ITM00112,200,2025-01-07,2025-01-19,Delivered
PO000332,SUP025,PROD00185,526,2025-08-16,2025-10-05,Delivered
PO000333,SUP006,SKU00142,532,2023-01-15,2023-02-24,Pending
PO000334,SUP002,PRO00017,325,2024-07-09,2024-08-26,Pending
PO000335,SUP026,SKU00083,90,2024-06-06,2024-06-18,Delayed
PO000336,SUP015,PRO00195,174,2024-05-03,2024-05-21,Delivered
PO000337,SUP014,ITM00023,158,2024-01-19,2024-02-12,Delayed
PO000338,SUP027,ITM00176,242,2025-01-05,2025-01-26,Delivered
PO000339,SUP015,ITM00110,399,2023-09-24,09-11-2023,Cancelled
PO000340,SUP010,ITM00200,327,2025-09-01,2025-09-09,Delivered
PO000341,SUP004,PROD00121,67,2024-12-31,2025-02-15,In Transit
PO000342,SUP030,SKU00140,259,2023-12-15,2024-01-30,Delivered
PO000343,SUP003,PROD00049,287,2023-01-24,2023-02-23,Cancelled
PO000344,SUP021,ITM00200,167,2023-05-01,2023-05-22,Cancelled
PO000345,SUP019,PROD00075,377,2023-08-20,2023-09-10,Delivered
PO000346,SUP005,PRO00038,495,2024-11-08,2024-12-16,Delivered
PO000347,SUP016,PRO00193,165,2025-01-14,2025-02-15,Cancelled
PO000348,SUP016,SKU00169,398,2023-05-15,2023-05-26,In Transit
PO000349,SUP004,PRO00066,176,2023-04-18,2023-05-30,In Transit
PO000350,SUP009,PRO00037,274,2025-02-07,2025-03-07,Cancelled
PO000351,SUP001,PRO00137,120,2024-08-31,2024-10-17,In Transit
PO000352,SUP022,ITM00077,241,2023-03-25,2023-04-09,Delayed
PO000353,SUP024,PRO00076,524,2024-11-26,2024-12-11,Delayed
PO000354,SUP012,SKU00067,490,2025-02-13,2025-03-09,Delayed
PO000355,SUP012,PROD00044,219,2024-12-15,2025-01-30,In Transit
PO000356,SUP001,PRO00095,195,2023-04-07,05/19/2023,In Transit
PO000357,SUP006,ITM00091,151,2025-04-25,2025-05-29,In Transit
PO000358,SUP005,SKU00089,475,2025-06-17,2025-07-17,Cancelled
PO000359,SUP030,ITM00172,98,2024-03-23,2024-05-03,In Transit
PO000360,SUP001,PROD00165,180,2023-06-17,2023-06-22,Pending
PO000361,SUP004,PRO00100,174,2023-08-03,2023-09-16,In Transit
PO000362,SUP023,PRO00055,378,2023-07-03,2023-08-09,Cancelled
PO000363,SUP027,PROD00004,322,2023-12-04,2024-01-13,Cancelled
PO000364,SUP008,SKU00069,320,2023-01-20,2023-01-26,Delivered
PO000365,SUP005,PRO00039,492,2024-11-20,2024-11-25,Delayed
PO000366,SUP029,PROD00006,148,2024-03-26,2024-05-14,
PO000367,SUP004,ITM00023,526,2024-07-18,2024-08-11,Pending
PO000368,SUP013,PROD00073,66,2025-08-02,2025-08-14,Delayed
PO000369,SUP001,PROD00075,50,2024-10-04,2024-11-10,Delayed
PO000370,SUP026,ITM00096,122,2025-06-17,2025-06-25,Pending
PO000371,SUP002,SKU00130,379,2025-02-02,2025-03-05,Pending
PO000372,SUP009,ITM00023,102,2023-02-07,2023-03-19,Cancelled
PO000373,SUP027,ITM00077,345,2024-09-25,2024-10-22,Cancelled
PO000374,SUP023,PRO00087,270,2024-05-04,2024-06-22,Pending
PO000375,SUP002,PRO00183,520,2025-03-07,2025-03-24,Delivered
PO000376,SUP023,PRO00064,393,2023-10-04,2023-11-21,Delivered
PO000377,SUP004,ITM00033,161,2024-04-01,2024-04-20,Delayed
PO000378,SUP011,SKU00072,137,2023-04-25,2023-04-30,Delivered
PO000379,SUP001,PRO00085,443,2024-08-26,2024-09-04,Cancelled
