order_id,customer_id,sku,qty,order_date,status
ORD000054,CUST00314,ITM00172,81,2023-01-08,Shipped
ORD000055,CUST00331,ITM00021,98,2023-01-12,Shipped
ORD000056,CUST00235,PRO00017,15,2025-01-21,Cancelled
ORD000057,CUST00447,PRO00066,81,2025-06-08,Processing
ORD000058,,ITM00128,14,2023-10-25,Shipped
ORD000059,CUST00408,PRO00047,64,,
ORD000060,CUST00182,PRO00068,2,2025-09-28,Shipped
ORD000061,CUST00469,SKU00188,25,2023-04-20,Completed
ORD000062,CUST00359,ITM00065,90,2023-02-03,Pending 
ORD000063,CUST00219,ITM00070,82,2023-04-09,Processing
ORD000064,CUST00291,SKU00197,63,2025-02-16,INVALID
ORD000065,CUST00263,ITM00023,36,2024-11-24,Completed
ORD000066,CUST00203,PRO00162,96,2024-10-09,Shipped
ORD000067,CUST00448,PROD00187,44,2025-02-23,Cancelled
ORD000068,CUST00453,PROD00018,5,2025-01-07,Processing
ORD000069,CUST00198,SKU00140,5,2024-01-25,Cancelled
ORD000070,CUST00253,PROD00136,48,2024-09-10,Pending
ORD000071,CUST00277,ITM00071,66,2024-04-29,Cancelled
ORD000072,CUST00407,SKU00041,2,2024-03-20,Processing
ORD000073,CUST00283,PRO00150,65,2023-10-16,Shipped
ORD000074,,PRO00133,13,04-05-2023,Cancelled
ORD000075,CUST00326,SKU00061,37,2023-11-02,
ORD000076,CUST00392,PROD00147,62,2023-03-03,Cancelled
ORD000077,CUST00110,PROD00090,48,2023-08-31,Processing
ORD000078,CUST00488,PRO00068,8,2023-12-10,Completed
ORD000079,CUST00197,SKU00188,17,2025-05-28,Completed
ORD000080,CUST00188,SKU00181,82,2024-05-16,Pending
ORD000081,CUST00447,SKU00190,32,2023-02-06,Pending
ORD000082,,SKU00143,98,2023-12-28,Pending
ORD000083,CUST00403,PRO00097,8,2024-07-31,Pending
ORD000084,CUST00282,SKU00098,2,2024-10-05,Completed
ORD000085,CUST00417,PRO00064,12,2024-09-02,Processing
ORD000086,CUST00185,PRO00078,37,2024-06-20,Shipped
ORD000087,CUST00279,PROD00048,87,2025-01-14,Processing
ORD000088,CUST00422,SKU00194,45,2023-12-18,Completed
ORD000089,CUST00422,PROD00044,39,2025-06-19,Processing
ORD000090,CUST00246,PROD00004,26,2023-05-22,Completed
ORD000091,CUST00337,SKU00196,41,2024-04-15,Shipped
ORD000092,CUST00438,PRO00027,71,2024-08-05,Processing
ORD000093,CUST00296,PRO00133,79,2023-09-09,Shipped
ORD000094,CUST00433,PRO00085,83,20-08-2025,Shipped
ORD000095,CUST00416,PRO00005,53,2023-10-05,Shipped
ORD000096,CUST00035,SKU00116,30,2023-05-24, Processing
ORD000097,CUST00459,ITM00043,99,2024-07-10,Pending
ORD000098,CUST00277,ITM00175,15,2025-01-06,Processing
ORD000099,CUST00170,PROD00147,87,2025-03-24,Completed
ORD000100,CUST00145,SKU00173,45,03/31/2023,Pending
ORD000101,CUST00402,ITM00025,32,2025-07-29,Cancelled
ORD000102,CUST00490,SKU00173,18,2023-04-25,Pending
ORD000103,CUST00252,SKU00088,54,2023-12-09,Cancelled
ORD000104,CUST00151,ITM00025,68,2025-05-08,Processing
ORD000105,CUST00412,ITM00176,68,2025-02-28,Cancelled
ORD000106,CUST00217,PRO00078,34,2023-12-09,Processing
ORD000107,CUST00356,SKU00035,37,2025-02-23,Pending
ORD000108,CUST00281,PRO00151,51,2024-12-29,Processing
ORD000109,CUST00390,SKU00186,51,2023-01-31,Processing
ORD000110,CUST00374,SKU00118,62,2025-02-05,
ORD000111,CUST00364,ITM00040,65,2024-01-13,Shipped
ORD000112,CUST00311,PROD00199,73,2025-01-19,INVALID
ORD000113,CUST00367,SKU00057,68,2024-07-18,Cancelled
ORD000114,CUST00270,SKU00179,98,2024-02-27,
ORD000115,CUST99999,PROD00147,40,2023-09-18,Processing
ORD000116,CUST00298,PRO00007,13,2023-01-15,Completed
ORD000117,CUST00092,SKU00069,11,2023-09-05,Processing
ORD000118,CUST00372,SKU00181,10,2024-07-31,Shipped
ORD000119,CUST00311,SKU00094,16,21-10-2024,Processing
ORD000120,CUST00050,SKU00188,1,2024-08-19,Processing
ORD000121,CUST00156,PROD00192,47,2025-02-19,Shipped
ORD000122,CUST00024,SKU00098,98,2024-04-14,Processing
ORD000123,CUST00098,PROD00080,5,2023-05-09,Completed
ORD000124,CUST00013,PRO00012,,2024-07-22,Cancelled
ORD000125,CUST00336,ITM00200,74,2024-03-14,Cancelled
ORD000126,CUST00079,PROD00187,69,2024-05-18,Processing
ORD000127,CUST00010,ITM00036,77,2024-09-19,Shipped
ORD000128,CUST00482,SKU00196,66,2025-01-19,Completed
ORD000129,CUST00470,ITM00001,75,05/13/2025,Processing
ORD000130,CUST00166,PRO00146,7,2023-04-10,Pending
ORD000131,CUST00008,SKU00154,76,2024-07-30,Processing
ORD000132,CUST00164,SKU00082,64,2023-05-17,Processing
ORD000133,CUST00243,SKU00069,63,2024-10-05, Completed 
ORD000134,CUST00257,PROD00108,23,2023-11-21,Completed
ORD000135,CUST00030,SKU00196,61,2025-02-16,Cancelled
ORD000136,CUST00473,PRO00193,45,2024-01-28,Processing
ORD000137,,PRO00028,66,2023-04-27,Pending
ORD000138,CUST00257,PRO00012,27,2023-11-08,Processing
ORD000139,CUST00037,SKU00159,58,2023-04-19,Processing
ORD000140,CUST00403,PROD00167,10,2023-09-12,Cancelled
ORD000141,CUST00351,PRO00078,100,2024-12-06,Shipped
ORD000142,CUST00427,SKU00054,5,2025-05-24,Cancelled
ORD000143,CUST00348,SKU00041,63,2025-06-11,Shipped
ORD000144,CUST00370,SKU00116,40,2025-02-17,Shipped
ORD000145,CUST00099,PRO00042,50,2024-10-16,Processing
ORD000146,CUST00333,ITM00139,80,2023-01-26,Pending
ORD000147,,PRO00180,59,2024-12-29,Completed
ORD000148,CUST00275,PRO00081,45,2025-06-15,Processing
ORD000149,CUST00417,PROD00006,74,2023-09-02,Processing
ORD000150,CUST00017,PRO00038,6,2025-02-17,Cancelled
ORD000151,CUST00296,ITM00023,69,2025-01-08,Shipped
ORD000152,CUST00080,SKU00179,,2025-07-14,Completed
ORD000153,CUST00181,SKU00020,3,2023-02-11, Cancelled 
ORD000154,CUST00454,ITM00011,81,2025-03-14,Completed
ORD000155,CUST00049,SKU00046,37,2024-07-03,Processing
ORD000156,CUST00117,ITM00166,84,2025-02-11,Cancelled
ORD000157,CUST00224,PROD00106,37,2023-01-17, Cancelled
ORD000158,CUST00303,PROD00178,66,12/29/2024,Shipped
ORD000159,CUST00096,PROD00145,68,2025-02-24,Cancelled
ORD000160,CUST00499,ITM00050,87,2023-10-04,Shipped
ORD000161,CUST00321,SKU00101,61,2025-05-08,Shipped
ORD000162,CUST00382,ITM00099,32,2024-11-06,Completed
ORD000163,CUST00428,PRO00104,30,2023-05-09,Completed
ORD000164,CUST00315,SKU00069,66,2023-09-14,Pending
ORD000165,CUST00021,PRO00198,16,2024-04-28,
ORD000166,CUST00341,PROD00185,34,2023-07-03,Shipped
ORD000167,CUST00288,SKU00196,65,2025-02-14,Completed
ORD000168,CUST00196,PROD00102,87,2024-10-20,Completed
ORD000169,CUST00245,PRO00183,6,2024-10-03,Pending
ORD000170,CUST00203,SKU00088,73,2023-07-19,Cancelled
ORD000171,,PRO00133,22,2024-09-26,Shipped
ORD000172,CUST00236,PRO00052,2,2025-02-09, Pending
ORD000173,CUST00003,PRO00163,44,2024-10-01,
ORD000174,CUST00063,PROD00182,20,2025-02-13,Shipped
ORD000175,CUST00445,PRO00155,16,2024-02-02,Pending
ORD000176,CUST99999,SKU00035,90,2024-09-11,Completed
ORD000177,CUST00180,PROD00004,32,2023-06-14,INVALID
ORD000178,CUST00408,ITM00114,41,2024-03-20,Completed
ORD000179,CUST00014,ITM00025,85,2024-04-17,Shipped
ORD000180,CUST00014,PROD00153,54,2025-04-30,Shipped
ORD000181,CUST00416,PRO00104,9,2024-09-24,Shipped
ORD000182,CUST00106,PRO00087,94,2025-03-18,Cancelled
ORD000183,CUST00351,SKU00170,38,2023-12-20,Pending
ORD000184,CUST00442,SKU00094,15,2023-03-20,Processing
ORD000185,CUST00500,PRO00180,6,2025-01-22,Processing
ORD000186,CUST00182,ITM00112,95,2023-01-15,Shipped
ORD000187,CUST00104,PRO00019,92,2024-07-10,Pending
ORD000188,CUST00095,SKU00046,76,2023-11-05,Pending
ORD000189,CUST00393,PROD00004,74,2024-05-19,Pending
ORD000190,CUST00445,ITM00189,25,2025-01-22,Completed
ORD000191,CUST00148,ITM00021,1,2025-03-17,Cancelled
ORD000192,CUST00064,ITM00113,92,2023-01-19,
ORD000193,CUST00003,PROD00184,16,2023-05-11,Cancelled
ORD000194,CUST00211,SKU00009,39,2025-04-09,Processing
ORD000195,CUST00388,PRO00003,49,2023-07-04,Cancelled
ORD000196,CUST00169,PROD00177,13,2024-02-15,Cancelled
ORD000197,CUST00055,SKU00067,6,2023-08-22,Shipped
ORD000198,CUST00334,PRO00047,30,2023-07-30,Completed
ORD000199,CUST00048,SKU00173,7,2024-01-17,Completed
ORD000200,CUST00174,ITM00135,100,2025-04-23,Cancelled
ORD000201,CUST00135,PRO00012,2,2024-09-02,Cancelled
ORD000202,CUST00090,PROD00178,54,2024-01-27,Pending
ORD000203,,PRO00052,83,2024-04-29,Processing
ORD000204,CUST00100,SKU00130,-92,2023-02-20,Pending
ORD000205,CUST00127,PRO00078,31,2023-12-19,Processing
ORD000206,CUST00444,SKU00101,19,2023-01-20,Pending
ORD000207,CUST00193,PRO00081,69,2024-04-22,Processing
ORD000208,CUST00335,PRO00195,80,2023-08-12,Processing
ORD000209,CUST00393,SKU00130,22,2024-09-03,Completed
ORD000210,CUST00208,PRO00144,2,2025-03-30,
ORD000211,CUST00470,PRO00037,12,2024-05-14,Processing
ORD000212,CUST00468,SKU00054,89,2023-08-04,Completed
ORD000213,CUST00354,PRO00195,64,07/26/2023,Processing
ORD000214,CUST00081,PROD00168,50,2023-02-21,Processing
ORD000215,CUST00061,PROD00185,4,2024-09-07,Processing
ORD000216,CUST00177,ITM00134,40,2025-09-23,Cancelled
ORD000217,CUST00136,SKU00118,13,,Completed
ORD000218,CUST00229,PROD00006,39,2024-01-01,Pending
ORD000219,CUST00103,PROD00004,49,2024-06-23,Processing
ORD000220,CUST00243,SKU00057,22,2025-04-20,Cancelled
ORD000221,CUST00275,PROD00004,59,2023-11-20,Completed
ORD000222,CUST00036,ITM00023,53,2025-09-18,Completed
ORD000223,CUST00190,SKU00072,46,2025-07-03,Cancelled
ORD000224,CUST00313,PRO00163,20,,Pending
ORD000225,CUST99999,PROD00177,93,2025-04-16,Cancelled
ORD000226,CUST00457,PRO00087,57,2025-06-13,Shipped
ORD000227,CUST00067,PRO00155,53,2023-10-16,Processing
ORD000228,CUST00192,SKU00196,25,2025-03-02,Pending
ORD000229,CUST00205,SKU00101,2,2023-10-26,Shipped
ORD000230,CUST99999,PRO00095,72,2024-01-22,Shipped
ORD000231,CUST00090,PROD00132,16,2025-06-20,Processing 
ORD000232,CUST00364,PROD00059,98,2023-08-15,Cancelled
ORD000233,CUST00037,PRO00155,12,2024-06-03,Processing
ORD000234,CUST00253,PROD00004,21,2025-09-12,Shipped
ORD000235,CUST00053,ITM00011,58,2025-05-17,Cancelled
ORD000236,CUST00348,SKU00120,52,2024-10-22,Pending
ORD000237,,ITM00071,5,2024-08-30,Completed
ORD000238,CUST00272,PRO00156,11,2024-01-03,Processing
ORD000239,CUST00158,PRO00144,92,2025-01-24,INVALID
ORD000240,CUST00455,PRO00074,39,2023-12-26,Completed
ORD000241,CUST00237,PRO00028,,2025-07-10,Shipped
ORD000242,CUST00296,SKU00179,50,2023-04-10,Cancelled
ORD000243,CUST99999,PROD00008,42,2024-02-18,Cancelled
ORD000244,CUST00428,PROD00171,67,2024-08-15,Shipped
ORD000245,CUST00174,PRO00085,46,22-06-2023,Shipped
ORD000246,CUST00093,SKU00088,85,2025-09-15,Processing
ORD000247,CUST00041,PROD00171,88,2025-07-17,Cancelled
ORD000248,CUST00361,SKU00188,90,2025-04-25,Shipped
ORD000249,CUST00493,PRO00074,66,2024-07-31,Processing
ORD000250,,SKU00061,80,2025-02-22,Pending
ORD000251,CUST00471,SKU00041,91,2024-10-28,Shipped
ORD000252,CUST00496,ITM00113,24,2025-05-11,Shipped
ORD000253,CUST00245,PRO00028,61,23-07-2025,Shipped
ORD000254,CUST00471,PRO00013,26,2024-05-12,Completed
ORD000255,CUST00467,PRO00092,31,2023-08-26,Pending
ORD000256,CUST00241,ITM00134,40,2023-03-02,Cancelled
ORD000257,CUST00254,ITM00001,32,2024-11-13,Completed
ORD000258,CUST00159,SKU00101,74,2023-04-06,Shipped
ORD000259,CUST00368,PRO00038,100,2023-04-24,Processing
ORD000260,CUST00338,PROD00184,78,2023-12-31,Pending
ORD000261,CUST00371,SKU00179,88,2024-05-07,Processing
ORD000262,CUST00059,ITM00040,9,2024-05-25,Pending
ORD000263,CUST00439,PRO00078,13,2023-12-03,Cancelled
ORD000264,CUST00288,SKU00179,28,2024-09-13,Cancelled
ORD000265,CUST00199,ITM00113,60,2025-08-27,Processing
ORD000266,CUST00202,ITM00134,71,2024-11-11,Cancelled
ORD000267,CUST00148,PROD00174,5,2024-05-13,Cancelled
ORD000268,CUST00005,ITM00091,70,2024-08-03,Completed
ORD000269,CUST00201,PROD00106,94,2025-03-15,Completed
ORD000270,CUST00418,ITM00166,53,2023-05-18,Cancelled
ORD000271,CUST00462,SKU00170,5,2023-07-25,Pending
ORD000272,,PROD00178,33,2024-12-25,Completed
ORD000273,CUST00053,PROD00080,86,2024-09-01,Cancelled
ORD000274,CUST00119,SKU00069,57,,Completed
ORD000275,CUST00447,PRO00027,53,2023-01-04,Cancelled
ORD000276,CUST00288,SKU00130,45,2024-11-02,Processing
ORD000277,CUST00002,PRO00131,64,2024-06-08,Processing
ORD000278,CUST00426,PRO00012,93,2024-07-09,Processing
ORD000279,,ITM00036,96,2023-02-05,Pending
ORD000280,CUST00231,ITM00127,92,2025-04-23,Cancelled
ORD000281,CUST00034,PROD00044,78,2023-11-05,Cancelled
ORD000282,CUST00178,SKU00069,89,2025-07-04,Processing
ORD000283,CUST00381,ITM00023,78,2023-02-15,Processing
ORD000284,CUST00154,PROD00045,,2023-10-29,Pending
ORD000285,CUST00280,PRO00085,67,31-05-2023,Cancelled
ORD000286,CUST00127,PROD00160,70,2025-06-12,INVALID
ORD000287,CUST00442,PRO00097,44,2024-09-24, Completed 
ORD000288,CUST00487,SKU00196,52,2025-03-12,Processing
ORD000289,CUST00188,PROD00051,51,2023-01-10,Cancelled
ORD000290,CUST00274,PROD00049,58,2024-08-28,Pending
ORD000291,CUST00324,PROD00056,86,2024-06-24,Pending
ORD000292,CUST00361,ITM00023,15,2024-05-29,Processing
ORD000293,CUST00128,SKU00152,19,2025-05-27,Pending
ORD000294,CUST00310,PRO00119,73,2023-02-24,Shipped
ORD000295,CUST00452,PRO00163,42,2023-12-19,Cancelled
ORD000296,CUST00366,SKU00094,71,2023-08-03,Completed
ORD000297,,PRO00097,1,2023-10-09,Completed
ORD000298,CUST00463,PRO00193,98,2024-01-29,Cancelled
ORD000299,CUST00019,ITM00189,98,2023-10-26,Shipped
ORD000300,CUST00135,SKU00173,82,2024-06-15,Pending
ORD000301,CUST00088,PROD00153,12,2025-06-26,Processing
ORD000302,CUST00200,ITM00200,13,2024-07-07,Shipped
ORD000303,CUST00056,ITM00176,23,2023-02-22,Shipped
ORD000304,CUST00395,PRO00163,47,08/26/2025,Cancelled
ORD000305,CUST00454,PROD00191,71,2024-10-05,Completed
ORD000306,CUST00387,PRO00039,6,2023-03-10,Shipped
ORD000307,CUST00066,ITM00070,71,2024-09-11,Processing
ORD000308,CUST00238,PROD00107,25,2024-09-22,Pending
ORD000309,CUST99999,SKU00124,77,2024-12-26,Cancelled
ORD000310,CUST00310,PRO00027,18,2025-03-02,Shipped
ORD000311,CUST00117,PROD00006,69,2024-04-11,Shipped
ORD000312,CUST00270,SKU00190,88,24-09-2023,Completed
ORD000313,CUST00011,SKU00130,53,2025-07-05,Processing
ORD000314,CUST00065,SKU00179,16,2024-02-16,Cancelled
ORD000315,CUST00246,PROD00004,69,2024-04-16,Cancelled
ORD000316,CUST00052,PRO00161,12,,Completed
ORD000317,CUST00192,PROD00045,71,2024-08-22,Processing
ORD000318,CUST00389,PROD00073,30,2025-09-12,Pending
ORD000319,CUST00322,SKU00079,51,2025-08-19,Pending
ORD000320,CUST00485,SKU00094,43,2023-11-26,Pending
ORD000321,CUST00436,PROD00107,,2025-08-11,
ORD000322,CUST00224,PROD00132,22,2024-07-09,Completed
ORD000323,CUST00219,PRO00047,45,2025-09-18,Processing
ORD000324,CUST00259,PROD00125,91,2025-03-01,Cancelled
ORD000325,CUST00284,ITM00113,87,2024-12-03,Cancelled
ORD000326,CUST00405,ITM00001,92,2024-01-06,Cancelled
ORD000327,CUST00273,ITM00043,40,2023-10-18,Completed
ORD000328,CUST00368,ITM00025,35,2024-06-10,Processing
ORD000329,CUST00048,PRO00047,75,2025-03-16,Pending
ORD000330,,SKU00179,74,2023-05-02,Cancelled
ORD000331,CUST00146,SKU00130,21,2024-08-15,Shipped
ORD000332,CUST00436,PROD00121,84,2024-06-26,Completed
ORD000333,CUST00052,ITM00015,,2024-08-07,Pending
ORD000334,CUST00114,PROD00129,67,2024-12-22,Pending
ORD000335,CUST00350,PRO00007,15,2025-05-25,Cancelled
ORD000336,,ITM00105,49,2025-05-12,Pending
ORD000337,CUST00215,SKU00061,22,2025-08-24,Processing
ORD000338,CUST00379,PRO00078,10,2024-02-16,INVALID
ORD000339,CUST00461,PROD00185,34,2024-02-06,Completed
ORD000340,CUST00081,SKU00154,78,2024-01-05,Processing
ORD000341,CUST00113,PRO00032,49,2023-06-20,
ORD000342,CUST00399,ITM00096,78,2023-10-24,Completed 
ORD000343,CUST00283,ITM00176,97,2024-12-15,Shipped
ORD000344,CUST00398,PRO00162,95,2023-12-14,Processing
ORD000345,CUST00085,PROD00192,88,2023-08-11,Shipped
ORD000346,CUST00453,PROD00006,17,2024-04-16,Completed
ORD000347,CUST00015,PRO00027,51,2023-08-31,Shipped
ORD000348,CUST00093,SKU00154,59,2023-01-26,Completed 
ORD000349,CUST00352,PRO00133,66,2024-08-16,Shipped
ORD000350,CUST00165,ITM00001,54,2025-08-28,Cancelled
ORD000351,CUST00046,PRO00064,92,2025-08-15,Completed
ORD000352,CUST00355,PROD00044,45,2023-11-05,Pending
ORD000353,CUST00459,PRO00146,27,2024-01-20,Pending
ORD000354,CUST00048,PROD00018,4,2024-08-22,Pending
ORD000355,CUST00473,PRO00005,67,2025-01-27,Shipped
ORD000356,CUST00046,SKU00057,69,2024-11-21,Processing
ORD000357,CUST00217,ITM00063,45,2025-06-13,Completed
ORD000358,CUST00367,PRO00146,3,2023-09-24,Cancelled
ORD000359,CUST00303,SKU00098,-28,2024-10-23,Shipped
ORD000360,CUST00346,PRO00081,33,2023-12-06,Shipped
ORD000361,CUST00137,SKU00086,39,2025-06-08,Cancelled
ORD000362,CUST00279,ITM00011,28,2025-01-25,Completed
ORD000363,CUST00099,PRO00012,39,2023-12-07,Pending
ORD000364,CUST00221,PRO00157,64,2024-05-17,Completed
ORD000365,CUST00144,PRO00037,58,2025-04-07,Pending
ORD000366,CUST00215,PROD00167,79,2025-06-09,Processing
ORD000367,CUST00004,PROD00168,98,01/21/2025,Processing
ORD000368,CUST00216,PROD00049,38,2024-12-19,Cancelled
ORD000369,CUST00340,SKU00159,89,2025-08-05,Pending
ORD000370,CUST00308,PROD00153,21,2025-06-07,Pending
ORD000371,CUST00383,SKU00031,77,2025-02-26,Shipped
ORD000372,CUST00056,PRO00066,63,2024-09-10,Shipped
ORD000373,CUST00257,PRO00060,5,2023-12-24,Cancelled
ORD000374,CUST00117,PRO00042,100,2025-04-17,Processing
ORD000375,CUST00469,SKU00057,,2023-03-18,Pending
ORD000376,CUST00301,PROD00044,84,2024-07-24,Shipped
ORD000377,CUST00482,PRO00109,72,2023-02-18,Cancelled
ORD000378,CUST00139,PRO00100,86,2025-07-27,Cancelled
ORD000379,CUST00492,SKU00140,13,2024-11-26,Cancelled
ORD000380,CUST00433,PRO00198,28,2025-08-16,
ORD000381,CUST00084,ITM00139,82,2023-09-09,
ORD000382,CUST00099,PROD00145,4,07-08-2025,Pending
ORD000383,CUST00361,PROD00051,3,2024-08-06,Completed
ORD000384,CUST00435,SKU00169,10,2024-12-21,Processing
ORD000385,CUST00157,SKU00173,82,2025-06-08,Completed
ORD000386,CUST00351,PROD00102,8,2023-05-11,Completed
ORD000387,CUST99999,PRO00066,27,2024-11-11,Pending
ORD000388,CUST00432,PRO00092,50,2023-03-25,Cancelled
ORD000389,CUST00412,PRO00037,3,2024-05-13,Cancelled
ORD000390,CUST00024,ITM00135,92,2023-11-07,Cancelled
ORD000391,CUST00452,PRO00092,77,2025-06-23,Cancelled
ORD000392,CUST00312,PRO00027,29,2023-03-22,Shipped
ORD000393,CUST00116,PROD00149,7,2023-11-05,Processing
ORD000394,CUST00254,SKU00088,97,2025-02-15,Processing
ORD000395,CUST00484,PRO00100,76,2024-07-17,Completed
ORD000396,CUST00177,PRO00151,9,2023-09-12,Shipped
ORD000397,CUST00350,SKU00093,21,2023-11-05,Shipped
ORD000398,CUST00072,ITM00110,48,2023-10-18,Processing
ORD000399,CUST00085,PRO00133,37,2025-03-31,Cancelled
ORD000400,CUST00333,PROD00182,82,2025-03-13,Cancelled
ORD000401,CUST00092,PRO00162,76,2024-12-19,Processing
ORD000402,CUST00148,PRO00092,94,2023-03-06,Shipped
ORD000403,CUST00316,PROD00018,91,2023-04-04,Processing
ORD000404,CUST00247,ITM00070,,2024-08-25,Pending
ORD000405,CUST00415,PRO00100,91,2025-09-09,Completed
ORD000406,CUST00194,PROD00184,30,2023-09-29,Shipped
ORD000407,CUST00344,SKU00057,,2023-03-27,Pending
ORD000408,CUST00103,PROD00182,,2024-08-04,Completed
ORD000409,CUST00349,PROD00045,67,2025-05-28,Cancelled
ORD000410,CUST00226,PRO00163,23,2023-06-08, Pending
ORD000411,CUST00052,PRO00180,67,2025-05-24,Shipped
ORD000412,CUST00069,SKU00194,49,2024-05-31,Shipped
ORD000413,CUST00071,SKU00118,23,2024-02-10,Shipped
ORD000414,CUST00124,SKU00031,89,2023-08-23, Shipped
ORD000415,CUST00225,PRO00010,74,2023-04-08, Processing
ORD000416,CUST00117,PROD00045,43,2025-04-11,Pending
ORD000417,CUST00104,PROD00059,79,2023-01-31,Processing
ORD000418,CUST00208,ITM00040,39,2025-02-16,Pending
ORD000419,CUST00077,SKU00143,59,2023-12-21,Processing
ORD000420,CUST00468,PRO00115,98,2023-12-04,Shipped
ORD000421,CUST00338,PRO00195,83,2023-09-27,Processing
ORD000422,CUST00376,PRO00100,2,2025-07-31,Pending
ORD000423,CUST00155,SKU00026,76,2025-04-24,Completed
ORD000424,CUST00124,ITM00043,43,2024-03-25,Processing
ORD000425,CUST00438,PRO00150,54,2023-09-25,Completed
ORD000426,CUST00130,PRO00060,25,2023-05-28,Completed
ORD000427,CUST00386,PRO00156,43,2024-10-16,Cancelled
ORD000428,CUST00400,PRO00078,71,2025-08-01,Processing
ORD000429,CUST00408,PROD00149,37,2024-12-18,Cancelled
ORD000430,CUST00130,PROD00117,32,2024-12-01,Shipped
ORD000431,CUST00167,ITM00105,64,2023-09-04,Cancelled
ORD000432,CUST00168,SKU00098,96,2023-05-13,Cancelled
ORD000433,CUST00482,ITM00001,10,2023-07-17,Completed
ORD000434,CUST00235,PRO00155,23,2025-05-11,Processing
ORD000435,CUST00390,PROD00182,23,2025-05-03,Shipped
ORD000436,,PRO00052,7,2024-02-18,INVALID
ORD000437,CUST00034,SKU00072,52,2024-12-02,Pending
ORD000438,CUST00355,SKU00186,70,2023-12-01,Processing
ORD000439,CUST00193,SKU00089,80,2023-01-06,Processing
ORD000440,CUST00333,PRO00144,21,2023-11-06,Cancelled
ORD000441,CUST00399,PRO00027,54,2025-09-24,Pending 
ORD000442,CUST00245,PRO00162,61,2023-10-03,
ORD000443,CUST00223,PROD00018,9,2023-05-08,Cancelled
ORD000444,CUST00148,SKU00054,24,2025-08-17,Pending
ORD000445,CUST00011,SKU00143,46,2024-05-20,Shipped
ORD000446,CUST00381,PROD00080,87,2023-10-18,Completed
